Year,Surgeon ID,Surgeon Name,Statewide All CABG Cases,Statewide Isolated CABG Cases,Statewide Isolated CABG Deaths,Statewide Observed Mortality Rate(%), Surgeon Total CABG Cases, Surgeon Total Isolated CABG Cases, Surgeon Total Isolated CABG Deaths,Overall Surgeon Operative Mortality  Risk Adjusted Rate (%),Overall Surgeon LCL,Overall Surgeon UCL,Overall Performance Rating,All CABG Cases per Hospital,Isolated CABG Cases per Hospital,Isolated CABG Deaths per Hospital,Observed Mortality Rate(%) per Hospital,Expected Mortality Rate(%) per Hospital,Risk-Adjusted Mortality Rate(%) per Hospital,Lower 95%CI per Hospital,Upper 95%CI per Hospital,  Performance Rating per Hospital,County,Hospital,OSHPD ID,Longitude,Latitude 
2017-2018,20A15786,"Jubach, Jeremy T","32,297","25,838",603,2.33,113,105,5,4.65,1.51,10.86,Average,12,12,1,8.33,1.66,11.69,0.3,65.15,Average,Los Angeles,California Hospital Medical Center - Los Angeles,106190125,-118.27,34.04
2017-2018,20A15786,"Jubach, Jeremy T","32,297","25,838",603,2.33,113,105,5,4.65,1.51,10.86,Average,11,9,0,0,2.35,0,0,40.69,Average,Los Angeles,Garfield Medical Center,106190315,-118.12,34.07
2017-2018,20A15786,"Jubach, Jeremy T","32,297","25,838",603,2.33,113,105,5,4.65,1.51,10.86,Average,45,40,1,2.5,1.76,3.31,0.08,18.42,Average,Los Angeles,Glendale Memorial Hospital and Health Center,106190522,-118.26,34.13
2017-2018,A145312,"Julien, Matheau","32,297","25,838",603,2.33,5,5,0,0,0,100,Average,2,2,0,0,1.52,0,0,100,Average,Butte,Enloe Medical Center - Esplanade,106040962,-121.85,39.74
2017-2018,A145312,"Julien, Matheau","32,297","25,838",603,2.33,5,5,0,0,0,100,Average,3,3,0,0,0.84,0,0,100,Average,Shasta,Mercy Medical Center - Redding,106450949,-122.4,40.57
2017-2018,A89049,"Kajitani, Michio","32,297","25,838",603,2.33,279,231,7,3.2,1.29,6.6,Average,279,231,7,3.03,2.21,3.2,1.29,6.6,Average,San Bernardino,St. Bernardine Medical Center,106361339,-117.28,34.13
2017-2018,A69922,"Kamlot, Andreas","32,297","25,838",603,2.33,116,95,0,0,0,4.18,Average,98,78,0,0,2.32,0,0,4.75,Average,Contra  Costa,John Muir Medical Center - Concord Campus,106071018,-122.04,37.99
2017-2018,A69922,"Kamlot, Andreas","32,297","25,838",603,2.33,116,95,0,0,0,4.18,Average,6,5,0,0,0.96,0,0,100,Average,Contra  Costa,San Ramon Regional Medical Center,106074017,-121.96,37.78
2017-2018,A69922,"Kamlot, Andreas","32,297","25,838",603,2.33,116,95,0,0,0,4.18,Average,12,12,0,0,1.66,0,0,43.11,Average,Alameda,Stanford Health Care - Valleycare,106014050,-121.88,37.69
2017-2018,G86404,"Kaplon, Richard J","32,297","25,838",603,2.33,243,149,1,0.82,0.02,4.55,Average,24,16,1,6.25,3.91,3.73,0.09,20.77,Average,Sacramento,Mercy General Hospital,106340947,-121.45,38.57
2017-2018,G86404,"Kaplon, Richard J","32,297","25,838",603,2.33,243,149,1,0.82,0.02,4.55,Average,219,133,0,0,1.68,0,0,3.86,Average,Sacramento,Mercy San Juan Hospital,106340950,-121.31,38.67
2017-2018,A73867,"Keyser, Eric","32,297","25,838",603,2.33,98,93,3,3.16,0.65,9.25,Average,71,68,2,2.94,2.64,2.6,0.31,9.4,Average,San Joaquin,Dameron Hospital,106390846,-121.3,37.96
2017-2018,A73867,"Keyser, Eric","32,297","25,838",603,2.33,98,93,3,3.16,0.65,9.25,Average,13,13,0,0,1.86,0,0,35.66,Average,Shasta,Mercy Medical Center - Redding,106450949,-122.4,40.57
2017-2018,A73867,"Keyser, Eric","32,297","25,838",603,2.33,98,93,3,3.16,0.65,9.25,Average,14,12,1,8.33,1.48,13.18,0.33,73.46,Average,San Bernardino,St. Bernardine Medical Center,106361339,-117.28,34.13
2017-2018,G71384,"Khan, Junaid H","32,297","25,838",603,2.33,200,178,1,0.6,0.02,3.34,Average,200,178,1,0.56,2.19,0.6,0.02,3.34,Average,Alameda,Alta Bates Summit Medical Center,106010937,-122.26,37.82
2017-2018,A77333,"Khan, Tanveer A","32,297","25,838",603,2.33,78,72,3,3.09,0.64,9.03,Average,64,60,3,5,3.11,3.75,0.77,10.96,Average,Contra  Costa,John Muir Medical Center - Concord Campus,106071018,-122.04,37.99
2017-2018,A77333,"Khan, Tanveer A","32,297","25,838",603,2.33,78,72,3,3.09,0.64,9.03,Average,5,4,0,0,1.65,0,0,100,Average,Contra  Costa,San Ramon Regional Medical Center,106074017,-121.96,37.78
2017-2018,A77333,"Khan, Tanveer A","32,297","25,838",603,2.33,78,72,3,3.09,0.64,9.03,Average,9,8,0,0,4.15,0,0,25.95,Average,Alameda,Stanford Health Care - Valleycare,106014050,-121.88,37.69
2017-2018,A127413,"Khodaverdian, Reza","32,297","25,838",603,2.33,172,163,5,2.66,0.86,6.2,Average,65,62,2,3.23,2.87,2.62,0.32,9.46,Average,Los Angeles,Adventist Health Glendale,106190323,-118.23,34.15
2017-2018,A127413,"Khodaverdian, Reza","32,297","25,838",603,2.33,172,163,5,2.66,0.86,6.2,Average,10,9,0,0,3.23,0,0,29.6,Average,Los Angeles,Adventist Health White Memorial,106190878,-118.22,34.05
2017-2018,A127413,"Khodaverdian, Reza","32,297","25,838",603,2.33,172,163,5,2.66,0.86,6.2,Average,43,40,0,0,1.93,0,0,11.16,Average,Los Angeles,Good Samaritan Hospital - Los Angeles,106190392,-118.27,34.05
2017-2018,A127413,"Khodaverdian, Reza","32,297","25,838",603,2.33,172,163,5,2.66,0.86,6.2,Average,3,2,0,0,1.04,0,0,100,Average,Los Angeles,Methodist Hospital of Southern California,106190529,-118.04,34.14
2017-2018,A127413,"Khodaverdian, Reza","32,297","25,838",603,2.33,172,163,5,2.66,0.86,6.2,Average,8,7,0,0,3.63,0,0,33.84,Average,Los Angeles,Providence Saint Joseph Medical Center,106190758,-118.33,34.16
2017-2018,A127413,"Khodaverdian, Reza","32,297","25,838",603,2.33,172,163,5,2.66,0.86,6.2,Average,3,3,0,0,1.16,0,0,100,Average,Monterey,Salinas Valley Memorial Hospital,106270875,-121.65,36.66
2017-2018,A127413,"Khodaverdian, Reza","32,297","25,838",603,2.33,172,163,5,2.66,0.86,6.2,Average,40,40,3,7.5,3.09,5.67,1.17,16.56,Average,Los Angeles,St. Vincent Medical Center,106190762,-118.27,34.06
2017-2018,A92674,"Khoynezhad, Ali","32,297","25,838",603,2.33,75,57,3,6.44,1.33,18.81,Average,2,.,.,.,.,.,.,.,,Los Angeles,Cedars Sinai Medical Center,106190555,-118.38,34.08
2017-2018,A92674,"Khoynezhad, Ali","32,297","25,838",603,2.33,75,57,3,6.44,1.33,18.81,Average,73,57,3,5.26,1.91,6.44,1.33,18.81,Average,Los Angeles,Memorialcare Long Beach Medical Center,106190525,-118.19,33.81
2017-2018,A85907,"Khwaja, Shamsuddin","32,297","25,838",603,2.33,638,532,15,2.93,1.64,4.83,Average,23,20,1,5,3.93,2.97,0.08,16.55,Average,Fresno,Community Regional Medical Center - Fresno,106100717,-119.78,36.74
2017-2018,A85907,"Khwaja, Shamsuddin","32,297","25,838",603,2.33,638,532,15,2.93,1.64,4.83,Average,523,437,10,2.29,2.03,2.63,1.26,4.84,Average,Fresno,Fresno Heart and Surgical Hospital,106105029,-119.79,36.86
2017-2018,A85907,"Khwaja, Shamsuddin","32,297","25,838",603,2.33,638,532,15,2.93,1.64,4.83,Average,92,75,4,5.33,3.06,4.07,1.11,10.42,Average,Fresno,Saint Agnes Medical Center,106100899,-119.76,36.84
2017-2018,A130675,"Kiankhooy, Armin","32,297","25,838",603,2.33,95,76,2,4.67,0.57,16.89,Average,10,8,1,12.5,1.59,18.33,0.46,100,Average,Los Angeles,Adventist Health Glendale,106190323,-118.23,34.15
2017-2018,A130675,"Kiankhooy, Armin","32,297","25,838",603,2.33,95,76,2,4.67,0.57,16.89,Average,5,5,0,0,1.68,0,0,100,Average,Los Angeles,California Hospital Medical Center - Los Angeles,106190125,-118.27,34.04
2017-2018,A130675,"Kiankhooy, Armin","32,297","25,838",603,2.33,95,76,2,4.67,0.57,16.89,Average,4,3,0,0,0.83,0,0,100,Average,Los Angeles,Glendale Memorial Hospital and Health Center,106190522,-118.26,34.13
2017-2018,A130675,"Kiankhooy, Armin","32,297","25,838",603,2.33,95,76,2,4.67,0.57,16.89,Average,22,18,1,5.56,1.86,6.97,0.18,38.81,Average,Los Angeles,Huntington Memorial Hospital,106190400,-118.15,34.14
2017-2018,A130675,"Kiankhooy, Armin","32,297","25,838",603,2.33,95,76,2,4.67,0.57,16.89,Average,20,14,0,0,1.44,0,0,42.72,Average,Los Angeles,Keck Hospital of University of Southern California,106194219,-118.2,34.06
2017-2018,A130675,"Kiankhooy, Armin","32,297","25,838",603,2.33,95,76,2,4.67,0.57,16.89,Average,34,28,0,0,0.81,0,0,38.16,Average,Los Angeles,Los Angeles County/University of Southern California Medical Center,106191228,-118.21,34.06
2017-2018,A65669,"Kincade, Robert C","32,297","25,838",603,2.33,392,288,3,1.31,0.27,3.84,Average,392,288,3,1.04,1.85,1.31,0.27,3.84,Average,Sacramento,"Sutter Medical Center, Sacramento",106341051,-121.44,38.57
2017-2018,A120943,"Kleisli, Thomas","32,297","25,838",603,2.33,51,44,0,0,0,7.36,Average,15,13,0,0,1.75,0,0,37.86,Average,Los Angeles,PIH Health Hospital - Whittier,106190631,-118.05,33.97
2017-2018,A120943,"Kleisli, Thomas","32,297","25,838",603,2.33,51,44,0,0,0,7.36,Average,36,31,0,0,3.04,0,0,9.14,Average,Los Angeles,Pomona Valley Hospital Medical Center,106190630,-117.75,34.08
2017-2018,G76329,"Klingman, Robert R","32,297","25,838",603,2.33,129,114,3,2,0.41,5.86,Average,1,.,.,.,.,.,.,.,,Napa,Adventist Health St. Helena,106281078,-122.47,38.54
2017-2018,G76329,"Klingman, Robert R","32,297","25,838",603,2.33,129,114,3,2,0.41,5.86,Average,41,40,0,0,2.21,0,0,9.74,Average,Solano,North Bay Medical Center,106481357,-122.05,38.26
2017-2018,G76329,"Klingman, Robert R","32,297","25,838",603,2.33,129,114,3,2,0.41,5.86,Average,87,74,3,4.05,3.53,2.68,0.55,7.84,Average,Napa,Queen of the Valley Medical Center,106281047,-122.3,38.32
2017-2018,G66829,"Kochamba, Gary S","32,297","25,838",603,2.33,200,173,1,0.72,0.02,4,Average,200,173,1,0.58,1.88,0.72,0.02,4,Average,Los Angeles,Kaiser Foundation Hospital - Los Angeles,106190429,-118.3,34.1
2017-2018,G52235,"Korver, Keith F","32,297","25,838",603,2.33,263,190,2,1.58,0.19,5.71,Average,4,3,0,0,1.51,0,0,100,Average,San Francisco,California Pacific Medical Center - Pacific Campus,106380929,-122.43,37.79
2017-2018,G52235,"Korver, Keith F","32,297","25,838",603,2.33,263,190,2,1.58,0.19,5.71,Average,65,50,1,2,1.92,2.43,0.06,13.52,Average,Marin,Marin General Hospital,106211006,-122.54,37.95
2017-2018,G52235,"Korver, Keith F","32,297","25,838",603,2.33,263,190,2,1.58,0.19,5.71,Average,103,69,1,1.45,1.18,2.88,0.07,16.03,Average,Sonoma,Santa Rosa Memorial Hospital - Montgomery,106491064,-122.7,38.44
2017-2018,G52235,"Korver, Keith F","32,297","25,838",603,2.33,263,190,2,1.58,0.19,5.71,Average,91,68,0,0,1.67,0,0,7.6,Average,Sonoma,Sutter Santa Rosa Regional Hospital,106494106,-122.71,38.47
2017-2018,G37886,"Koumjian, Michael P","32,297","25,838",603,2.33,137,127,3,3.54,0.73,10.34,Average,6,5,0,0,2.28,0,0,75.58,Average,San Diego,Alvarado Hospital Medical Center,106370652,-117.06,32.78
2017-2018,G37886,"Koumjian, Michael P","32,297","25,838",603,2.33,137,127,3,3.54,0.73,10.34,Average,30,29,2,6.9,2.41,6.67,0.81,24.1,Average,San Diego,Grossmont Hospital,106370714,-117.01,32.78
2017-2018,G37886,"Koumjian, Michael P","32,297","25,838",603,2.33,137,127,3,3.54,0.73,10.34,Average,95,87,1,1.15,1.25,2.15,0.05,11.96,Average,Riverside,Loma Linda University Medical Center - Murrieta,106334589,-117.16,33.61
2017-2018,G37886,"Koumjian, Michael P","32,297","25,838",603,2.33,137,127,3,3.54,0.73,10.34,Average,6,6,0,0,1.29,0,0,100,Average,San Diego,Scripps Mercy Hospital,106370744,-117.16,32.75
2017-2018,A63040,"Kwon, Murray H","32,297","25,838",603,2.33,45,26,0,0,0,21.57,Average,45,26,0,0,1.53,0,0,21.57,Average,Los Angeles,Ronald Reagan UCLA Medical Center,106190796,-118.45,34.07
2017-2018,A143249,"Laeeq, Ambreen","32,297","25,838",603,2.33,28,24,3,6.48,1.34,18.93,Average,18,16,1,6.25,4.93,2.96,0.07,16.49,Average,Monterey,Community Hospital of the Monterey Peninsula,106270744,-121.92,36.6
2017-2018,A143249,"Laeeq, Ambreen","32,297","25,838",603,2.33,28,24,3,6.48,1.34,18.93,Average,10,8,2,25,3.65,15.98,1.94,57.74,Average,Santa Cruz,Dominican Hospital,106440755,-121.98,36.99
2017-2018,G156478,"Laga, Stephen F","32,297","25,838",603,2.33,2,1,0,0,0,100,Average,2,1,0,0,0.9,0,0,100,Average,Shasta,Mercy Medical Center - Redding,106450949,-122.4,40.57
2017-2018,A37669,"Laks, Hillel","32,297","25,838",603,2.33,17,11,0,0,0,84.51,Average,17,11,0,0,0.93,0,0,84.51,Average,Los Angeles,Ronald Reagan UCLA Medical Center,106190796,-118.45,34.07
2017-2018,A69720,"Lam, Tuan T","32,297","25,838",603,2.33,166,119,4,3.04,0.83,7.78,Average,23,16,0,0,2.58,0,0,20.82,Average,Orange,Memorialcare Orange Coast Medical Center,106300225,-117.96,33.7
2017-2018,A69720,"Lam, Tuan T","32,297","25,838",603,2.33,166,119,4,3.04,0.83,7.78,Average,1,1,0,0,0.46,0,0,100,Average,Orange,Memorialcare Saddleback Medical Center,106301317,-117.71,33.61
2017-2018,A69720,"Lam, Tuan T","32,297","25,838",603,2.33,166,119,4,3.04,0.83,7.78,Average,1,.,.,.,.,.,.,.,,San Bernardino,San Antonio Regional Hospital,106361318,-117.64,34.1
2017-2018,A69720,"Lam, Tuan T","32,297","25,838",603,2.33,166,119,4,3.04,0.83,7.78,Average,141,102,4,3.92,2.6,3.52,0.96,9.01,Average,Orange,St. Jude Medical Center,106301342,-117.93,33.89
2017-2018,G85362,"Lapunzina, Paul M","32,297","25,838",603,2.33,147,109,0,0,0,5.69,Average,147,109,0,0,1.39,0,0,5.69,Average,San Francisco,Kaiser Foundation Hospital - San Francisco,106380857,-122.44,37.78
2017-2018,20A11358,"Larson, Craig R","32,297","25,838",603,2.33,77,54,0,0,0,11.33,Average,77,54,0,0,1.41,0,0,11.33,Average,San Diego,Sharp Memorial Hospital,106370694,-117.16,32.8
2017-2018,A68414,"Laudito, Antonio","32,297","25,838",603,2.33,11,10,0,0,0,32.44,Average,3,2,0,0,1.41,0,0,100,Average,Shasta,Mercy Medical Center - Redding,106450949,-122.4,40.57
2017-2018,A68414,"Laudito, Antonio","32,297","25,838",603,2.33,11,10,0,0,0,32.44,Average,8,8,0,0,2.96,0,0,36.31,Average,Humboldt,St. Joseph Hospital - Eureka,106121080,-124.14,40.78
2017-2018,A136787,"Lee, Anson M","32,297","25,838",603,2.33,77,43,4,7.32,1.99,18.74,Average,77,43,4,9.3,2.97,7.32,1.99,18.74,Average,Santa Clara,Stanford Health Care,106430905,-122.18,37.43
2017-2018,G84585,"Lee, Hon S","32,297","25,838",603,2.33,277,244,2,0.89,0.11,3.2,Average,277,244,2,0.82,2.16,0.89,0.11,3.2,Average,Santa Clara,Kaiser Foundation Hospital - Santa Clara,106434153,-122,37.33
2017-2018,A114498,"Lee, Raymond C","32,297","25,838",603,2.33,4,3,0,0,0,87.32,Average,4,3,0,0,3.29,0,0,87.32,Average,Los Angeles,Providence St. John's Health Center,106190756,-118.48,34.03
2017-2018,A61812,"Lee, Sang H","32,297","25,838",603,2.33,128,113,7,4.13,1.66,8.5,Average,2,2,0,0,0.66,0,0,100,Average,Santa Clara,O'Connor Hospital,106430837,-121.94,37.33
2017-2018,A61812,"Lee, Sang H","32,297","25,838",603,2.33,128,113,7,4.13,1.66,8.5,Average,126,111,7,6.31,3.55,4.14,1.66,8.53,Average,Santa Clara,Regional Medical of San Jose,106430705,-121.85,37.36
2017-2018,C150297,"Lee, Teng C","32,297","25,838",603,2.33,46,43,2,5.72,0.69,20.65,Average,1,1,0,0,2.73,0,0,100,Average,San Francisco,UC San Francisco Medical Center,106381154,-122.46,37.76
2017-2018,C150297,"Lee, Teng C","32,297","25,838",603,2.33,46,43,2,5.72,0.69,20.65,Average,45,42,2,4.76,1.88,5.91,0.72,21.36,Average,Alameda,Washington Hospital - Fremont,106010987,-121.98,37.56
2017-2018,A154790,"Lee, Timothy M","32,297","25,838",603,2.33,36,32,1,8.34,0.21,46.46,Average,36,32,1,3.13,0.87,8.34,0.21,46.46,Average,San Francisco,Kaiser Foundation Hospital - San Francisco,106380857,-122.44,37.78
2017-2018,A86132,"Lee, Vincent G","32,297","25,838",603,2.33,94,80,2,1.85,0.22,6.67,Average,30,29,1,3.45,4.48,1.8,0.05,10,Average,Riverside,Riverside Community Hospital,106331312,-117.38,33.98
2017-2018,A86132,"Lee, Vincent G","32,297","25,838",603,2.33,94,80,2,1.85,0.22,6.67,Average,39,30,0,0,2.32,0,0,12.36,Average,San Bernardino,San Antonio Regional Hospital,106361318,-117.64,34.1
2017-2018,A86132,"Lee, Vincent G","32,297","25,838",603,2.33,94,80,2,1.85,0.22,6.67,Average,25,21,1,4.76,2.54,4.38,0.11,24.4,Average,San Bernardino,St. Mary Medical Center - Apple Valley,106361343,-117.27,34.54
2017-2018,A31562,"Lemire, Guy G","32,297","25,838",603,2.33,6,6,1,9.7,0.25,54.03,Average,6,6,1,16.67,4.01,9.7,0.25,54.03,Average,Shasta,Shasta Regional Medical Center,106450940,-122.39,40.59
2017-2018,G79758,"Lemoine, Philippe H","32,297","25,838",603,2.33,100,94,6,4.15,1.52,9.04,Average,35,33,2,6.06,4.69,3.02,0.37,10.89,Average,Los Angeles,Centinela Hospital Medical Center,106190148,-118.35,33.95
2017-2018,G79758,"Lemoine, Philippe H","32,297","25,838",603,2.33,100,94,6,4.15,1.52,9.04,Average,65,61,4,6.56,2.99,5.12,1.39,13.1,Average,Los Angeles,Providence Little Company of Mary Medical Center - Torrance,106190470,-118.36,33.84
2017-2018,A99830,"Limmer, Karl K","32,297","25,838",603,2.33,95,51,1,2.89,0.07,16.1,Average,95,51,1,1.96,1.58,2.89,0.07,16.1,Average,San Diego,Sharp Memorial Hospital,106370694,-117.16,32.8
2017-2018,A99566,"Lin, John C","32,297","25,838",603,2.33,41,38,6,7.25,2.66,15.78,Worse,17,15,2,13.33,7.04,4.42,0.54,15.98,Average,Fresno,Community Regional Medical Center - Fresno,106100717,-119.78,36.74
2017-2018,A99566,"Lin, John C","32,297","25,838",603,2.33,41,38,6,7.25,2.66,15.78,Worse,23,22,3,13.64,3.94,8.07,1.66,23.59,Average,Fresno,Fresno Heart and Surgical Hospital,106105029,-119.79,36.86
2017-2018,A99566,"Lin, John C","32,297","25,838",603,2.33,41,38,6,7.25,2.66,15.78,Worse,1,1,1,100,0.82,100,7.2,100,Worse,Fresno,Saint Agnes Medical Center,106100899,-119.76,36.84
2017-2018,A43050,"Lin, Yuan H","32,297","25,838",603,2.33,266,227,10,3,1.44,5.51,Average,17,17,0,0,3.71,0,0,13.65,Average,San Diego,Alvarado Hospital Medical Center,106370652,-117.06,32.78
2017-2018,A43050,"Lin, Yuan H","32,297","25,838",603,2.33,266,227,10,3,1.44,5.51,Average,23,20,0,0,4.75,0,0,9.07,Average,San Diego,Grossmont Hospital,106370714,-117.01,32.78
2017-2018,A43050,"Lin, Yuan H","32,297","25,838",603,2.33,266,227,10,3,1.44,5.51,Average,224,188,10,5.32,3.29,3.77,1.81,6.93,Average,San Diego,Palomar Health Downtown Campus,106370755,-117.08,33.13
2017-2018,A43050,"Lin, Yuan H","32,297","25,838",603,2.33,266,227,10,3,1.44,5.51,Average,2,2,0,0,0.89,0,0,100,Average,San Diego,Sharp Chula Vista Medical Center,106370875,-117.02,32.62
2017-2018,A107140,"Liu, Minghui","32,297","25,838",603,2.33,285,240,12,3.06,1.58,5.34,Average,285,240,12,5,3.82,3.06,1.58,5.34,Average,Stanislaus,Doctors Medical Center,106500852,-121.2,37.8
2017-2018,G74139,"Longoria, James","32,297","25,838",603,2.33,265,179,2,1.36,0.17,4.93,Average,265,179,2,1.12,1.91,1.36,0.17,4.93,Average,Sacramento,"Sutter Medical Center, Sacramento",106341051,-121.44,38.57
2017-2018,G23487,"MacMillan, James C","32,297","25,838",603,2.33,143,120,3,2.32,0.48,6.79,Average,142,119,3,2.52,2.52,2.33,0.48,6.82,Average,Stanislaus,Doctors Medical Center,106500852,-121.2,37.8
2017-2018,G23487,"MacMillan, James C","32,297","25,838",603,2.33,143,120,3,2.32,0.48,6.79,Average,1,1,0,0,1.3,0,0,100,Average,Stanislaus,Memorial Medical Center - Modesto,106500939,-120.98,37.67
2017-2018,A67201,"Madani, Michael M","32,297","25,838",603,2.33,33,11,0,0,0,84.59,Average,33,11,0,0,0.93,0,0,84.59,Average,San Diego,UCSD Health La Jolla - Jacobs Medical Center & Sulpizio Cardiovascular Center,106374141,-117.23,32.88
2017-2018,A35504,"Mahendra, Tom","32,297","25,838",603,2.33,21,20,3,20.76,4.28,60.68,Worse,17,16,2,12.5,1.81,16.14,1.95,58.3,Average,Los Angeles,Antelope Valley Hospital,106190034,-118.16,34.69
2017-2018,A35504,"Mahendra, Tom","32,297","25,838",603,2.33,21,20,3,20.76,4.28,60.68,Worse,4,4,1,25,1.2,48.65,1.23,100,Average,Los Angeles,Palmdale Regional Medical Center,106196405,-118.14,34.58
2017-2018,G83840,"Malekmehr, Farshad","32,297","25,838",603,2.33,70,67,5,6.75,2.19,15.74,Average,34,34,3,8.82,3.49,5.91,1.22,17.26,Average,Los Angeles,St. Francis Medical Center,106190754,-118.2,33.93
2017-2018,G83840,"Malekmehr, Farshad","32,297","25,838",603,2.33,70,67,5,6.75,2.19,15.74,Average,35,33,2,6.06,1.65,8.58,1.04,30.99,Average,Los Angeles,Valley Presbyterian Hospital,106190812,-118.46,34.19
2017-2018,G83840,"Malekmehr, Farshad","32,297","25,838",603,2.33,70,67,5,6.75,2.19,15.74,Average,1,.,.,.,.,.,.,.,,Los Angeles,West Hills Hospital and Medical Center,106190859,-118.63,34.2
2017-2018,G43969,"Malki, Alan E","32,297","25,838",603,2.33,114,93,2,2.8,0.34,10.11,Average,114,93,2,2.15,1.79,2.8,0.34,10.11,Average,Santa Barbara,Santa Barbara Cottage Hospital,106420514,-119.72,34.43
2017-2018,A72254,"Marmureanu, Alexandru R","32,297","25,838",603,2.33,25,23,1,6.7,0.17,37.32,Average,1,1,0,0,0.93,0,0,100,Average,Los Angeles,Centinela Hospital Medical Center,106190148,-118.35,33.95
2017-2018,A72254,"Marmureanu, Alexandru R","32,297","25,838",603,2.33,25,23,1,6.7,0.17,37.32,Average,13,12,0,0,1.06,0,0,67.47,Average,Los Angeles,Hollywood Presbyterian Medical Center,106190382,-118.29,34.1
2017-2018,A72254,"Marmureanu, Alexandru R","32,297","25,838",603,2.33,25,23,1,6.7,0.17,37.32,Average,11,10,1,10,2.12,11.03,0.28,61.47,Average,Los Angeles,St. Vincent Medical Center,106190762,-118.27,34.06
2017-2018,A87711,"Mazur, Paul A","32,297","25,838",603,2.33,260,217,9,5.04,2.3,9.56,Average,260,217,9,4.15,1.92,5.04,2.3,9.56,Average,Shasta,Shasta Regional Medical Center,106450940,-122.39,40.59
2017-2018,A24881,"McConnell, Douglas H","32,297","25,838",603,2.33,5,5,0,0,0,100,Average,5,5,0,0,1.35,0,0,100,Average,Shasta,Shasta Regional Medical Center,106450940,-122.39,40.59
2017-2018,A96165,"McLean, Michael K","32,297","25,838",603,2.33,22,19,0,0,0,22.92,Average,3,1,0,0,0.55,0,0,100,Average,Los Angeles,California Hospital Medical Center - Los Angeles,106190125,-118.27,34.04
2017-2018,A96165,"McLean, Michael K","32,297","25,838",603,2.33,22,19,0,0,0,22.92,Average,1,1,0,0,0.6,0,0,100,Average,Los Angeles,Hollywood Presbyterian Medical Center,106190382,-118.29,34.1
2017-2018,A96165,"McLean, Michael K","32,297","25,838",603,2.33,22,19,0,0,0,22.92,Average,5,4,0,0,6.59,0,0,32.67,Average,Shasta,Mercy Medical Center - Redding,106450949,-122.4,40.57
2017-2018,A96165,"McLean, Michael K","32,297","25,838",603,2.33,22,19,0,0,0,22.92,Average,13,13,0,0,0.77,0,0,85.56,Average,Los Angeles,St. Vincent Medical Center,106190762,-118.27,34.06
2017-2018,A52076,"McPherson, James G","32,297","25,838",603,2.33,94,69,2,1.96,0.24,7.07,Average,94,69,2,2.9,3.46,1.96,0.24,7.07,Average,Ventura,St. John's Regional Medical Center,106560529,-119.16,34.22
2017-2018,A134706,"Megna, Dominick J","32,297","25,838",603,2.33,3,2,0,0,0,100,Average,3,2,0,0,1.11,0,0,100,Average,Los Angeles,Cedars Sinai Medical Center,106190555,-118.38,34.08
2017-2018,G69430,"Melikian, Vicken","32,297","25,838",603,2.33,33,19,0,0,0,20.23,Average,33,19,0,0,2.24,0,0,20.23,Average,San Francisco,Kaiser Foundation Hospital - San Francisco,106380857,-122.44,37.78
2017-2018,20A8396,"Mellinger, Douglas N","32,297","25,838",603,2.33,122,108,2,3.63,0.44,13.1,Average,122,108,2,1.85,1.19,3.63,0.44,13.1,Average,San Diego,Scripps Memorial Hospital - La Jolla,106370771,-117.22,32.89
2017-2018,G45518,"Merrick, Scot H","32,297","25,838",603,2.33,71,42,0,0,0,12.45,Average,18,11,0,0,1.55,0,0,50.64,Average,Marin,Marin General Hospital,106211006,-122.54,37.95
2017-2018,G45518,"Merrick, Scot H","32,297","25,838",603,2.33,71,42,0,0,0,12.45,Average,1,1,0,0,0.67,0,0,100,Average,Solano,North Bay Medical Center,106481357,-122.05,38.26
2017-2018,G45518,"Merrick, Scot H","32,297","25,838",603,2.33,71,42,0,0,0,12.45,Average,52,30,0,0,1.72,0,0,16.72,Average,San Francisco,UC San Francisco Medical Center,106381154,-122.46,37.76
2017-2018,G25004,"Miller, David C","32,297","25,838",603,2.33,8,.,.,.,,,,8,.,.,.,.,.,.,.,,Santa Clara,Stanford Health Care,106430905,-122.18,37.43
2017-2018,G46020,"Milliken, Jeffrey C","32,297","25,838",603,2.33,105,88,5,6.88,2.23,16.05,Average,105,88,5,5.68,1.93,6.88,2.23,16.05,Average,Orange,UC Irvine Medical Center,106301279,-117.89,33.79
2017-2018,A82064,"Minasyan, Sarah Z","32,297","25,838",603,2.33,63,58,2,2.25,0.27,8.11,Average,62,57,2,3.51,3.63,2.26,0.27,8.16,Average,Fresno,Community Regional Medical Center - Fresno,106100717,-119.78,36.74
2017-2018,A82064,"Minasyan, Sarah Z","32,297","25,838",603,2.33,63,58,2,2.25,0.27,8.11,Average,1,1,0,0,1.19,0,0,100,Average,Fresno,Fresno Heart and Surgical Hospital,106105029,-119.79,36.86
2017-2018,G74293,"Mohammadzadeh, Gholam R","32,297","25,838",603,2.33,164,128,3,1.41,0.29,4.13,Average,92,67,0,0,5.41,0,0,2.38,Average,Ventura,Los Robles Hospital and Medical Center,106560492,-118.89,34.21
2017-2018,G74293,"Mohammadzadeh, Gholam R","32,297","25,838",603,2.33,164,128,3,1.41,0.29,4.13,Average,17,15,0,0,1.8,0,0,31.89,Average,Los Angeles,Providence Tarzana Medical Center,106190517,-118.53,34.17
